id,page_views,downloads,columns,name,description,agency,rows,link,d,r,g,b
yeut-b48d,26,128.0,0,2013-2014 Elem EMS School Quality Reports,"New York City Department of Education 2013 - 2014 Elementary, Middle School Quality Report. 
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/yeut-b48d,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
xhmm-58fn,26,386.0,0,2011-2012 School Closure Discharge Reporting ELL- District,"In June 2012, 7 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2011-2012 school year, according to the guidelines set by Local Law 2011/043",Department of Education (DOE),0,https://data.cityofnewyork.us/d/xhmm-58fn,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
qusa-igsv,26,93.0,9,2014-2015 Class Size Report Borough Level Detail Summary,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",Department of Education (DOE),569,https://data.cityofnewyork.us/d/qusa-igsv,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
mu33-54em,25,168.0,9,Department for the Aging (DFTA) Reported Line Item Expenditures by Month of NY Connects Services Contracted Providers,Reported Expenditures of Line Items by Month of registered and contracted agencies providing NY Connects Services.,Department for the Aging (DFTA),360,https://data.cityofnewyork.us/d/mu33-54em,0.0,0.6234809659087222,0.6330654918766613,0.19369052933737949
q48k-6suv,25,11.0,0,2017 - 2018 Biannual Report January,"2017 - 2018 Biannual Report January Pursuant to Local Law 93 of 2015, the Department of Education is required to provide reports on student discipline data (suspension data) to the City Council twice a year (October 31 and March 31). The October reporting requires citywide suspension data by month for the second half of the academic year, January through June. Per the legislation and in accordance with the Family Educational Rights and Privacy Act (FERPA), any value from zero (0) to five (5) has been redacted.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/q48k-6suv,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
6etc-vpfd,25,54.0,0,2008 District 75 School Survey,2008 District 75 School Survey,Department of Education (DOE),0,https://data.cityofnewyork.us/d/6etc-vpfd,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
p5yk-zjsc,25,210.0,7,2015 - 2016 Discharge Reporting by Code - HS,"New York City Department of Education 2015 -2016 Discharge Report. 
This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042.",Department of Education (DOE),4068,https://data.cityofnewyork.us/d/p5yk-zjsc,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
e635-qjv5,25,191.0,9,Department for the Aging (DFTA) Reported Line Item Expenditures by Month of Homecare Contracted Providers,Reported Expenditures of Line Items by Month of registered and contracted agencies providing Homecare Services.,Department for the Aging (DFTA),450,https://data.cityofnewyork.us/d/e635-qjv5,0.0,0.6234809659087222,0.6330654918766613,0.19369052933737949
rcdb-6tdq,25,356.0,0,2010-2011 School Closure Discharge Reporting SWD Borough,"In June 2011, 15 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2010-2011 school year, according to the guidelines set by Local Law 2011/043.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/rcdb-6tdq,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
hntz-vujg,25,359.0,0,2011-2012 School Closure Discharge Reporting - SWD,"In June 2012, 7 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2011-2012 school year, according to the guidelines set by Local Law 2011/043",Department of Education (DOE),0,https://data.cityofnewyork.us/d/hntz-vujg,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
v2hd-uwxx,24,91.0,7,2011-12 Discharge Reporting by School - MS,"Local Law 42, enacted in 2011, requires the New York City Department of Education (DOE) to report to the New York City Council by June 30, 2013 the num ber of students in grades 6 through 8 who were discharged, transferred, or graduated during the 2011-12 school year. This document summarizes and explains reported data for students by discharge type in grades 6 - 8. This law requires the reporting of discharges and 
graduations that occur during one school year.",Department of Education (DOE),8076,https://data.cityofnewyork.us/d/v2hd-uwxx,354.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
x79z-q7y2,24,377.0,0,2011-2012 School Closure Discharge Reporting SWD - Borough,"In June 2012, 7 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2011-2012 school year, according to the guidelines set by Local Law 2011/043",Department of Education (DOE),0,https://data.cityofnewyork.us/d/x79z-q7y2,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
dpfn-5ihn,24,0.0,0,Parks Syringe Disposal Kiosks Map,"• One line of data represents single syringe collection kiosk location, its capacity, how it is mounted, and when it was installed.
• Data is collected via an ArcGIS Online web application.
• Data is updated as necessary as kiosks are installed, moved, or removed. However, there is a delay between these actions happening and when the data is updated to reflect them.
• Only active kiosk locations are shown. Former kiosk locations have  been removed.
• The installation date is known to be incomplete. Minor shifts in kiosk locations do not typically entail the creation of a new record, rather the point is simply moved.
• Redundant values for the KioskType field have been removed.",Department of Parks and Recreation (DPR),54,https://data.cityofnewyork.us/d/dpfn-5ihn,0.0,0.9542900080364486,0.4779505175890752,0.1963917622115608
j7tw-gms7,24,89.0,36,2015 - 2016 School Quality Report Results for D75 Schools,"New York City Department of Education 2015 - 2016 School Quality Report Results for D75 Schools. 
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.",Department of Education (DOE),60,https://data.cityofnewyork.us/d/j7tw-gms7,354.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
95ii-vcsx,24,84.0,7,2018 -2019 Class Size Pct City MSHS,"2018-19 Preliminary Class Size Report City Middle and High School Class Size Distribution
Core courses identified as English, Math, Social Studies, and Science classes for grades 6-12, where available 
General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students",Department of Education (DOE),589,https://data.cityofnewyork.us/d/95ii-vcsx,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
7pi4-r8u2,23,98.0,18,2014 - 15 Guidance Counselor Data,Department of Education 2014 - 15 Guidance Counselor Data for the school year.,Department of Education (DOE),1659,https://data.cityofnewyork.us/d/7pi4-r8u2,304.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
i6ds-scnc,23,104.0,3,Test Assessing Secondary Completion (TASC) for NYCHA Residents by Council District- Local Law 163,"This datasets contains information about NYCHA residents who passed the <a href=""https://www1.nyc.gov/nyc-resources/service/1763/ged-or-tasc-test"">Test Assessing Secondary Completion (TASC)</a> exam, exams that assess if an exam-taker has the required knowledge to receive a high school equivalency certification. This number only includes Pathways to Graduation students who passed TASC in given year. Pathways to Graduation is a full-time free program that helps students earn their High School Equivalency Diploma. Each row in the dataset represents the number of public housing residents on a council district-level who passed the TASC exam.
The dataset is part of the annual report compiled by the Mayor’s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a> on different services provided to NYCHA residents. See other datasets in this report by searching the keyword “Services available to NYCHA Residents - Local Law 163” on the Open Data Portal.",Department of Education (DOE),51,https://data.cityofnewyork.us/d/i6ds-scnc,218.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
dy27-rrad,23,37.0,16,Community Board Contact List,This data set represents Community Board Contact List for all 18 Community Board within Brooklyn.,Brooklyn Borough President (BPBK),18,https://data.cityofnewyork.us/d/dy27-rrad,396.0,1.0,1.0,1.0
gqzy-vhwd,23,368.0,5,Brooklyn Borough President Meeting Requests,This data set represents all meeting and event requests (internal and external) to the Borough President for 2017 and 2018.,Brooklyn Borough President (BPBK),3779,https://data.cityofnewyork.us/d/gqzy-vhwd,0.0,1.0,1.0,1.0
fk5e-4bf4,23,41.0,0,2016-2017 Elem MS Quality Reports,"New York City Department of Education 2016 - 2017 Elementary , Middle School Quality Reports.
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/fk5e-4bf4,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
gez6-674h,23,81.0,10,2011-2012 CLASS SIZE REPORT DISTRICT LEVEL DETAIL,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",Department of Education (DOE),3433,https://data.cityofnewyork.us/d/gez6-674h,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
c3kh-heyp,23,118.0,15,Street Travel Permit,"Street Travel Permits allow approved business vehicles to travel on the Church Street Bus Way at Battery Place and Greenwich Street, an otherwise restricted road.",Department of Transportation (DOT),283,https://data.cityofnewyork.us/d/c3kh-heyp,0.0,0.8616090647292522,0.536495730113334,0.19548899031476086
pjwi-qd2x,22,150.0,17,Broadband Adoption and Infrastructure by State Assembly District,"Key indicators of broadband adoption, service and infrastructure in New York City by State Senate District
</p>
<b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources.  The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Mayor's Office of the Chief Technology Officer,65,https://data.cityofnewyork.us/d/pjwi-qd2x,0.0,1.0,1.0,1.0
urc8-8bjy,22,153.0,10,2012-2013 CLASS SIZE REPORT DISTRICT LEVEL DETAIL,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",Department of Education (DOE),3081,https://data.cityofnewyork.us/d/urc8-8bjy,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
3kx3-7svp,22,136.0,17,Broadband Adoption and Infrastructure by Congressional District,"Key indicators of broadband adoption, service and infrastructure in New York City by Congressional District</p>
<b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources.  The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Mayor's Office of the Chief Technology Officer,13,https://data.cityofnewyork.us/d/3kx3-7svp,0.0,1.0,1.0,1.0
d4cb-8mwj,21,96.0,8,2018 - 2019 Average Class Size Boro MSHS,"2018-19 Preliminary Class Size Report Borough Middle School and High School Core Average Class Size 

Core courses identified as English, Math, Social Studies, and Science classes for grades 6-12, where available

General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students",Department of Education (DOE),469,https://data.cityofnewyork.us/d/d4cb-8mwj,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
by8q-dp62,21,143.0,7,2018 -2019 Average Class Size K8 Borough,"2018-19 Preliminary Class Size Report Borough K-8 Class Size Distribution

""
General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students",Department of Education (DOE),1022,https://data.cityofnewyork.us/d/by8q-dp62,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
igsj-fxac,21,0.0,0,Restrictive Declaration Sites Map,"Publically accessible open-space constructed and maintained by a private entity pursuant to an agreement with NYC Parks. Underlying jurisdiction of the land and the terms of each agreement vary by site. 

Data Dictionary: https://docs.google.com/spreadsheets/d/1kGQ-tRYAXONPBY9kHi1qik2SRf0wMslHGj-xLflOT_A/edit?usp=sharing",Department of Parks and Recreation (DPR),28,https://data.cityofnewyork.us/d/igsj-fxac,0.0,0.9542900080364486,0.4779505175890752,0.1963917622115608
ytjm-yias,21,110.0,8,2013-2014 Class Size Report City Level Distribution Final,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",Department of Education (DOE),502,https://data.cityofnewyork.us/d/ytjm-yias,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
c5u8-5c47,21,69.0,0,2011 NYC District 75 School Survey,"Every year, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally.   
Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/c5u8-5c47,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
cgwq-3ie6,21,131.0,17,Broadband Adoption and Infrastructure by Council District,"Key indicators of broadband adoption, service and infrastructure in New York City by Council District</p>
<b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources.  The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Mayor's Office of the Chief Technology Officer,51,https://data.cityofnewyork.us/d/cgwq-3ie6,218.0,1.0,1.0,1.0
28sw-qd77,21,0.0,0,TLC Driver Education 24 Hour Course Provider (Map),This is a list of authorized providers who offer the TLC Driver License 24 hour TLC Driver Education Course and exam. All TLC Driver License applicants must complete the course and pass an 80-question multiple choice exam on a computer with a grade of 70% or higher (you must answer 56 out of 80 questions correctly in order to pass). The course covers the following topics: TLC rules and regulations; geography; safe driving skills; traffic rules; and customer service.,Taxi and Limousine Commission (TLC),0,https://data.cityofnewyork.us/d/28sw-qd77,0.0,0.6804189127793346,0.6151497514677574,0.19405452111445337
rb33-zusf,20,53.0,0,2011-2012 Transfer High School Progress Report,"New York City Department of Education 2011 - 2012 Transfer High School Progress Report.
Data based on DBN, School Name and School Type for High School Transfers.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/rb33-zusf,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
7w73-8bcz,20,0.0,0,Leaning Bars (Map),Resting bars for Select Bus Service stops.,Department of Transportation (DOT),55,https://data.cityofnewyork.us/d/7w73-8bcz,0.0,0.8616090647292522,0.536495730113334,0.19548899031476086
cirn-n726,20,63.0,8,2012-2013 Discharge Local Law 42 Report - School Level - Middle School,"This report provides data regarding students enrolled in New York City schools during the 2012-2013 school year, according to the guidelines set by Local Law 2011/042.
Consistent with other school-year reporting, these results include students enrolled and events that occurred between October 26, 2012 and July 1, 2013.  Prior to October 26th, 15,552 students transferred between New York City schools, 4,758 students were discharged outside of NYC schools, and 3,592 students dropped out or were discharged under other codes.
School level results represent all events for all students.  School level results are not presented for District 79 programs or YABCs.
All results exclude District 84.
Citywide, Borough, and District results represent the last discharge or transfer for each student.
32 students in grades six through eight and 147 students in grades nine through twelve enrolled in school at correctional facilities or detention programs during the 2012-13 school year. 
Pursuant to the legislation and in accordance with the Family Educational Rights and Privacy Act (FERPA), if a category contains between 0 and 9 students, the number has been replaced with a symbol.  In addition, certain numbers have been replaced with a symbol when they could reveal, through addition or subtraction of other numbers that have not been redacted, the underlying count of a number that has been redacted.  
Codes for dropouts and other accountable discharges include 02, 12, 21, 29, 35, and 39. In addition, codes 08X, 10X, and 11X are considered dropouts in order to align with state guidance. These codes reflect the subset of all discharges that indicate that a student has discontinued schooling without having obtained a diploma.",Department of Education (DOE),1052,https://data.cityofnewyork.us/d/cirn-n726,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
gj2m-sgjc,20,79.0,15,2013 - 2018 Citywide ELA Results,Citywide results on the New York State (NYS) ELA exam,Department of Education (DOE),567,https://data.cityofnewyork.us/d/gj2m-sgjc,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
9tnu-6rdi,20,111.0,3,Test Assessing Secondary Completion (TASC) for NYCHA Residents by NYCHA Development- Local Law 163,"This datasets contains information about NYCHA residents who passed the <a href=""https://www1.nyc.gov/nyc-resources/service/1763/ged-or-tasc-test"">Test Assessing Secondary Completion (TASC)</a> exam, exams that assess if an exam-taker has the required knowledge to receive a high school equivalency certification. This number only includes Pathways to Graduation students who passed TASC in given year. Pathways to Graduation is a full-time free program that helps students earn their High School Equivalency Diploma. Each row in the dataset represents the number of public housing residents on a public housing development-level who passed the TASC exam.
The dataset is part of the annual report compiled by the Mayor’s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a> on different services provided to NYCHA residents. See other datasets in this report by searching the keyword “Services available to NYCHA Residents - Local Law 163” on the Open Data Portal.",Department of Education (DOE),339,https://data.cityofnewyork.us/d/9tnu-6rdi,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
wcpw-9chs,19,271.0,8,Asset Management Executive Summary - State of Good Repair Needs (Capital Eligible),This dataset contains information for a select number of agencies. It shows the estimated spending necessary to preserve the structural integrity for each of their fixed assets which meet the criteria for capital eligibility. The numbers can be summarized by Agency to match the Asset Management Executive Summary publication. Amounts are rounded to the nearest thousand. The dataset is updated once a year.,Mayor's Office of Management & Budget (OMB),173,https://data.cityofnewyork.us/d/wcpw-9chs,0.0,0.6968456641452155,0.5283777451706791,0.9581680759272918
jkk2-3xzd,19,68.0,6,2015-2016 Discharge Reporting School Level - HS,"This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042.
At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender.",Department of Education (DOE),12383,https://data.cityofnewyork.us/d/jkk2-3xzd,220.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
xdzg-dnpg,19,288.0,6,Asset Management Executive Summary - Agency Assets by Project Type and Class,"This dataset contains information for a select number of agencies, showing the number of assets owned by each Agency which are included in the Asset Management inventory. The assets are sorted by project type and class. The dataset is updated once a year.",Mayor's Office of Management & Budget (OMB),85,https://data.cityofnewyork.us/d/xdzg-dnpg,0.0,0.6968456641452155,0.5283777451706791,0.9581680759272918
nmtq-hr8h,19,51.0,0,2015-2016 Elem MS School Quality Reports,"New York City Department of Education 2015 - 2015 Elementary, Middle School Quality Reports.
 The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/nmtq-hr8h,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
2vr2-vcvz,18,51.0,7,NYC Covered Building's List (2010),The covered building list identifies properties required to comply with Local Law 84: Benchmarking.,Mayor's Office of Sustainability (MOS),92,https://data.cityofnewyork.us/d/2vr2-vcvz,0.0,0.2161609050020783,0.6684079809438751,0.7255515774097884
5mxw-kxpt,18,438.0,8,BP Appointments - Community Education Councils (CECs),"This data set represents the Borough President  CEC's appointees. Community Education Councils (CECs) are education policy advisory bodies responsible for, among other things, reviewing and evaluating the district’s educational programs, approving zoning lines, and holding public hearings on certain matters.",Brooklyn Borough President (BPBK),24,https://data.cityofnewyork.us/d/5mxw-kxpt,0.0,1.0,1.0,1.0
9bjg-n96a,18,115.0,17,Broadband Adoption and Infrastructure by State Senate District,"Key indicators of broadband adoption, service and infrastructure in New York City by State Senate District.
</p>
<b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources.  The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Mayor's Office of the Chief Technology Officer,26,https://data.cityofnewyork.us/d/9bjg-n96a,0.0,1.0,1.0,1.0
95u9-kyyu,18,49.0,7,BP Appointments - DYCD Neighborhood Advisory Board (NABS),"This dates set represents Borough President appointee DYCD (Neighborhood Advisory Board ). NABs serve Neighborhood Development Areas (NDAs), which are low-income neighborhoods designated as needing community development support. NAB members are responsible for helping to identify the needs of their local communities. DYCD takes their findings into consideration when allocating federal Community Services Block Grant (CSBG) funding.",Brooklyn Borough President (BPBK),16,https://data.cityofnewyork.us/d/95u9-kyyu,0.0,1.0,1.0,1.0
mhpm-4ekb,17,90.0,11,2015-16 Health Education MS Level,"Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district and each individual school.  This reports provides information about the number and percent of students receiving one semester of health education as defined in local law 14 as reported through 2015-2016 STARS database.   It includes school level data on number of 6-8 graders that received a semester of health instruction as well as number of 8th graders meeting the middle school health requirements for 2015-16 school year.  This regulation does not require students to receive health instruction at any particular grade level in middle school, only prior to completing 8th grade and a student may advance without completing the course.",Department of Education (DOE),566,https://data.cityofnewyork.us/d/mhpm-4ekb,220.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
